OBJECTID,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active
84,Haiti,2020-04-01 21:27,18.9712,-72.2852,16,0,1,15
85,Holy See,2020-04-01 21:27,41.9029,12.4534,6,0,0,6
86,Honduras,2020-04-01 21:27,15.2,-86.2419,172,10,3,159
87,Hungary,2020-04-01 21:27,47.1625,19.5033,525,20,40,465
88,India,2020-04-01 21:27,20.593684,78.96288,1637,45,148,1444
89,Indonesia,2020-04-01 21:27,-0.7893,113.9213,1677,157,103,1417
90,Iran,2020-04-01 21:27,32.427908,53.688046,47593,3036,15473,29084
91,Iraq,2020-04-01 21:27,33.223191,43.679291,694,50,170,474
92,Israel,2020-04-01 21:27,31.046051,34.851612,5591,21,226,5344
93,Jamaica,2020-04-01 21:27,18.1096,-77.2975,38,2,2,34
94,Japan,2020-04-01 21:27,36.204824,138.252924,2178,57,472,1649
95,Jordan,2020-04-01 21:27,31.24,36.51,274,5,30,239
96,Kazakhstan,2020-04-01 21:27,48.0196,66.9237,372,3,26,343
97,Kenya,2020-04-01 21:27,-0.0236,37.9062,59,1,3,55
98,"Korea, South",2020-04-01 21:27,35.907757,127.766922,9887,165,5567,4155
99,Kosovo,2020-04-01 21:27,42.602636,20.902977,112,1,6,105
100,Kuwait,2020-04-01 21:27,29.31166,47.481766,317,0,80,237
101,Kyrgyzstan,2020-04-01 21:27,41.20438,74.766098,111,0,3,108
102,Laos,2020-04-01 21:27,19.85627,102.495496,10,0,0,10
103,Latvia,2020-04-01 21:27,56.8796,24.6032,446,0,1,445
104,Lebanon,2020-04-01 21:27,33.8547,35.8623,479,12,37,430
105,Liberia,2020-04-01 21:27,6.428055,-9.429499,6,0,0,6
106,Libya,2020-04-01 21:27,26.3351,17.228331,10,0,1,9
107,Liechtenstein,2020-04-01 21:27,47.14,9.55,68,0,0,68
108,Lithuania,2020-04-01 21:27,55.1694,23.8813,581,8,7,566
109,Luxembourg,2020-04-01 21:27,49.8153,6.1296,2178,23,80,2075
110,MS Zaandam,2020-04-01 21:27,0.0,0.0,2,0,0,2
111,Madagascar,2020-04-01 21:27,-18.766947,46.869107,57,0,0,57
